,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG
0,76001,"Abdelnaby, Alaa",0,1990,1994,HISTADD_alaa_abdelnaby,0,,,,,Y
1,76002,"Abdul-Aziz, Zaid",0,1968,1977,HISTADD_zaid_abdul-aziz,0,,,,,Y
2,76003,"Abdul-Jabbar, Kareem",0,1969,1988,HISTADD_kareem_abdul-jabbar,0,,,,,Y
3,51,"Abdul-Rauf, Mahmoud",0,1990,2000,HISTADD_mahmoud_abdul-rauf,0,,,,,Y
4,1505,"Abdul-Wahad, Tariq",0,1997,2003,tariq_abdul-wahad,0,,,,,Y
5,949,"Abdur-Rahim, Shareef",0,1996,2007,shareef_abdur-rahim,0,,,,,Y
6,76005,"Abernethy, Tom",0,1976,1980,HISTADD_tom_abernethy,0,,,,,Y
7,76006,"Able, Forest",0,1956,1956,HISTADD_frosty_able,0,,,,,Y
8,76007,"Abramovic, John",0,1946,1947,HISTADD_brooms_abramovic,0,,,,,Y
9,101165,"Acker, Alex",0,2005,2008,alex_acker,0,,,,,Y
10,76008,"Ackerman, Donald",0,1953,1953,HISTADD_buddy_ackerman,0,,,,,Y
11,76009,"Acres, Mark",0,1987,1992,HISTADD_mark_acres,0,,,,,Y
12,76010,"Acton, Charles",0,1967,1967,HISTADD_bud_acton,0,,,,,Y
13,203112,"Acy, Quincy",1,2012,2015,quincy_acy,1610612758,Sacramento,Kings,SAC,kings,Y
14,76011,"Adams, Alvan",0,1975,1987,HISTADD_alvan_adams,0,,,,,Y
15,76012,"Adams, Don",0,1970,1976,HISTADD_don_adams,0,,,,,Y
16,200801,"Adams, Hassan",0,2006,2008,hassan_adams,0,,,,,Y
17,203919,"Adams, Jordan",1,2014,2015,jordan_adams,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
18,149,"Adams, Michael",0,1985,1995,HISTADD_michael_adams,0,,,,,Y
19,203500,"Adams, Steven",1,2013,2015,steven_adams,1610612760,Oklahoma City,Thunder,OKC,thunder,Y
20,912,"Addison, Rafael",0,1986,1996,HISTADD_rafael_addison,0,,,,,Y
21,76015,"Adelman, Rick",0,1968,1974,HISTADD_rick_adelman,0,,,,,Y
22,202399,"Adrien, Jeff",0,2010,2014,jeff_adrien,0,,,,,Y
23,201167,"Afflalo, Arron",1,2007,2015,arron_afflalo,1610612752,New York,Knicks,NYK,knicks,Y
24,200772,"Ager, Maurice",0,2006,2010,maurice_ager,0,,,,,Y
